duration_minutes,guest,date,session,anonymized_name
5,Yes,14.11.2023,3,b496a8d8e08c1960a1db87b11161507e
15,Yes,14.11.2023,3,81d93a4d2e0a99880c6825f981b9f63c
164,Yes,14.11.2023,3,36562a7f476a9bd1577a82ddd6d3d8aa
158,Yes,14.11.2023,3,e0d805e6d6998937891e9503b4973fb8
137,Yes,14.11.2023,3,f8742a9293a428dcf297ab2003a81d58
148,Yes,14.11.2023,3,b152b1912798603cfb1ac6689b09f970
159,Yes,14.11.2023,3,608d4b30f0ddb1d3a13d02df9edfe27d
154,Yes,14.11.2023,3,8dbc17f28aed486f505d1395c384d49e
157,Yes,14.11.2023,3,839d29a31c7275d3696b3e09e6dc8f02
125,Yes,14.11.2023,3,6ca52b72669371fdc55f0bb202abcbf1
158,Yes,14.11.2023,3,74cf46aacf8eb059e46a061995c249c0
158,Yes,14.11.2023,3,b9e887e8f7035380f3fd3fc885b7fbbd
158,Yes,14.11.2023,3,6aefa2a8994450e4acfa222b2043d309
157,No,14.11.2023,3,ba3b76e81df859d9f5d003cda3764bb0
156,Yes,14.11.2023,3,00ca4671e09e5ecf98faecb9bbfbba35
157,Yes,14.11.2023,3,297c21840007b94da0bf65f2a8d6632f
151,Yes,14.11.2023,3,0c73c79ec85d48d0be5a94fe41b17d16
91,Yes,14.11.2023,3,b7c7b59b48399b4592b74db0e2c5b722
157,No,14.11.2023,3,68ad54301392889b4d05cb42d9569d48
155,Yes,14.11.2023,3,955b155fd3a50c0fb00248b604d49542
145,Yes,14.11.2023,3,3194612623ba7dd35ccf4f6b3db9ac3f
157,Yes,14.11.2023,3,97c345d56f4617f76d82d6f6e2d58bac
157,Yes,14.11.2023,3,0b6929f9dec3e4c1a691104e0202c95c
156,Yes,14.11.2023,3,b4a0385607d4e29295da47428431a031
156,Yes,14.11.2023,3,cc02ff795ad49839a6317c7643db9ed4
156,Yes,14.11.2023,3,de588f921dc4657bdc81e111cf470d41
43,Yes,14.11.2023,3,99b13c654238e52c5fcb07f0e98b7995
6,Yes,14.11.2023,3,1ca9181c4054bd04985ce1f9062fbe74
155,Yes,14.11.2023,3,0d4cb5de3150d871ab956b6dbd2890b8
154,Yes,14.11.2023,3,d79ad30eff417f87bdff58aefcf4dcf4
156,Yes,14.11.2023,3,fd42cd796596127999fa4c7829d884a9
156,Yes,14.11.2023,3,253e8d0a241fb49e4b7058eaa17f0bd6
30,Yes,14.11.2023,3,2c2f206732739be89a3d1b078d939134
32,Yes,14.11.2023,3,e20073b62ffa50d500f24c575dd83c29
130,Yes,14.11.2023,3,bebc50c2d289eef1dede92f5fe546442
68,Yes,14.11.2023,3,894d310ab864e1317bbe28054b0d11a0
155,Yes,14.11.2023,3,92838c02b4ab4f82f59b302ca88d20a8
32,Yes,14.11.2023,3,d439e83aeac0d78e37b128ef0ee8cda7
99,Yes,14.11.2023,3,e38982f2958725edec877b95c3469db0
155,Yes,14.11.2023,3,d123af5dd193ea055577eb3bbb1c4dff
154,Yes,14.11.2023,3,47baa31e8261188722c4cbd817b91e41
66,Yes,14.11.2023,3,1b2a9114e01d3db1f74520df73d27ae2
154,Yes,14.11.2023,3,b5ba3569779f8fe9c002bed17f16ad4b
154,Yes,14.11.2023,3,6c66c6454bbed93bb3f853728569f7c5
153,Yes,14.11.2023,3,68b0b302e2c04bad76c97f523590c437
104,Yes,14.11.2023,3,038845742b9fbe8f4b8d47bfb4d6d0a5
129,Yes,14.11.2023,3,73fe85a58705434af0f04d0695edd2ed
132,Yes,14.11.2023,3,a309fd57d7d8ee417bc86b6dfb33604b
8,Yes,14.11.2023,3,d0ee1b46106d5b2b7db5a65d0a298574
65,Yes,14.11.2023,3,51ad280f9856c6a165476a7d2ea849e3
148,Yes,14.11.2023,3,7804c7c63475b68cb15c86dc4383383d
153,Yes,14.11.2023,3,67a48c174d11eebd86b114e9252fd5ab
153,Yes,14.11.2023,3,7fabe495f583b8fd97054faa03a5e889
153,Yes,14.11.2023,3,5e7c99207a86a93eaf8f73bb76c13f30
111,Yes,14.11.2023,3,1a23e21b875858bb09819cf72dc15ec4
119,Yes,14.11.2023,3,d0f99d835b2b5da95fde5e4cdd84e681
122,Yes,14.11.2023,3,6bab266238a63990291cdf2d9ea36e7e
144,Yes,14.11.2023,3,5d71541643b20ea0402c38447329aff9
67,Yes,14.11.2023,3,a9f17aeec118d45d9ce7a9d36735187c
150,Yes,14.11.2023,3,006c01d1724f1cd306f1ce5c88e35708
65,Yes,14.11.2023,3,15ad030dcb34d07b4202942bc5c64323
146,Yes,14.11.2023,3,83396c31f027f73afd39ea4a97e612bf
20,Yes,14.11.2023,3,2631c29d7c52db9ac2d60348d0eda302
149,Yes,14.11.2023,3,9a76e47b6130de2a16b09eb2e0731633
150,Yes,14.11.2023,3,add7664d1982a1e7ce45695a3455faae
134,Yes,14.11.2023,3,247673e894bed2f2b38491233b180042
149,Yes,14.11.2023,3,46cbb3253205c46166da5cb3853ebdd8
31,Yes,14.11.2023,3,93d3e32fd214f706da091da057333895
147,Yes,14.11.2023,3,21aa9f49610aaedbb3ca6d156091c78f
45,Yes,14.11.2023,3,41d7322cb4608233e9baea414ae561f3
67,Yes,14.11.2023,3,ec54b4fe4fefa48246f24c5f87ff6f07
127,Yes,14.11.2023,3,b8f6e60e49dbc3a7b6ce16a6a723e37c
102,Yes,14.11.2023,3,38a6f49fa144e11ecdfa2e91877563dd
144,Yes,14.11.2023,3,1f5e135d1a585fcf0fa6ab0faff4e399
3,Yes,14.11.2023,3,17d3d62270dfc9b67acf4b6356a0169c
2,Yes,14.11.2023,3,664e4c52805074d0503a55a3a164046a
6,Yes,14.11.2023,3,bb472d996ed67c08264ffe65e47f1a16
14,Yes,14.11.2023,3,839b6b737050b192b6246baf61f4e8ff
139,Yes,14.11.2023,3,b5ade33ebd452f104a13cdc85f1da2cd
49,Yes,14.11.2023,3,1ca2b7924de9d3883dd5f3bc8cd47b60
93,Yes,14.11.2023,3,8fa9955eaa6984d4d48a369032418186
138,Yes,14.11.2023,3,54061b14020bcd0be4cc8d598a8fc7df
136,Yes,14.11.2023,3,dfc523d9490bc948f33b1be6d6b74fbc
3,Yes,14.11.2023,3,b9cd261f22064043082953a83271cf67
45,Yes,14.11.2023,3,eee6cebd0262e157371b496ab1be3ee4
134,Yes,14.11.2023,3,d47d45687a49e2d54ce5a0d0fad941aa
128,Yes,14.11.2023,3,7923675bb048eba4791247be71aa781e
122,Yes,14.11.2023,3,ca255a17075d60da73a99e7a7be98497
111,Yes,14.11.2023,3,2bc3cce69559dc06fca4f3dd6cb11343
14,Yes,14.11.2023,3,d745064b38e8032f4e96faca95f56936
113,Yes,14.11.2023,3,08f0d1dd0e9041626929d866848faa8c
73,Yes,14.11.2023,3,097781d37f3b4c6aaa14590bb10146fa
22,Yes,14.11.2023,3,1ba8b41c27f3e893c72400c41158991a
26,Yes,14.11.2023,3,1e5d877acc683dcd42876aa13a128495
6,Yes,14.11.2023,3,7fdd43e630dc3913c0dbc8d87308adcf
6,Yes,14.11.2023,3,1a1408b5410e0b52cb966d0922a7281a
27,Yes,14.11.2023,3,0b750f215528614b8be4537028d83624
63,Yes,14.11.2023,3,3629708d173abdb31900fe0429770fe3
61,Yes,14.11.2023,3,c4b618e19822b0e65cf2467badfd0acf
57,Yes,14.11.2023,3,8c749e1b0a9453c3859c9229dab7babc
